incident nummer,Incident categorie,Beschrijving incident
1229854,Functioneel beheer,Traagheid CRM-ERP EPD
1229855,2e lijns (Doorgezette incidenten),MF__kan niet scannen naar ChipSoft
1229857,2e lijns (Doorgezette incidenten),MF pasje activeren
1229862,Hardware / Werkplekbeheer,Monitor knippert
1229864,Telefonie / Communicatie,intern bellen van bijv. 5265 naar tst. 5942 duurt heel lang voordat aangekozen toestel overgaat.
1229865,3e lijns (Technische incidenten),Verplaatsen Simpromed dat van m: naar eigen server - migratie
1229869,3e lijns (Technische incidenten),Verplaatsen Simpromed dat van m: naar eigen server - Onderzoek naar mogelijkheden
1229871,2e lijns (Doorgezette incidenten),vraagt naar rene vlaskamp inz. Software wassenburg wasmachine
1229872,2e lijns (Doorgezette incidenten),Graag aanmaken van rechten op jschijf
1229874,2e lijns (Doorgezette incidenten),Vroeg naar status melding 01229721
1229877,2e lijns (Doorgezette incidenten),wire solutions kan niet bellen
1229881,Hardware / Werkplekbeheer,Svp aansluiting patchen in ruimte W.14 vóór 13.00 uur
1229889,2e lijns (Doorgezette incidenten),Heeft bestand gedownload via Wetransfer maar kan/mag deze niet uitpakken
1229891,2e lijns (Doorgezette incidenten),MF pas activeren
1229892,2e lijns (Doorgezette incidenten),dv RD
1229894,2e lijns (Doorgezette incidenten),vraagt naar robert dekkers
1229895,Functioneel beheer,CS EPD Neurologie: Vragenlijst botuline toxine schema - kan geen komma invullen bij dosis
1229897,2e lijns (Doorgezette incidenten),Outlook__mist mailbox sinds zij op nieuwe KA zit
1229898,2e lijns (Doorgezette incidenten),astraia-z01 lijkt uit te staan?
1229899,Functioneel beheer,CS Ziscon: Wachtwoord wijzigen
1229905,2e lijns (Doorgezette incidenten),nieuwe KA: piepend geluid nieuwe KA-werkplekken
1229906,2e lijns (Doorgezette incidenten),Wie kan er bij de postbus pto@WS.nl
1229908,2e lijns (Doorgezette incidenten),Outlook__moet zich aanmelden bij Outlook
1229910,2e lijns (Doorgezette incidenten),dv met R. Vlaskamp
1229911,2e lijns (Doorgezette incidenten),tokencode
1229912,2e lijns (Doorgezette incidenten),dv Carel Muller
1229914,2e lijns (Doorgezette incidenten),wire solutions: scherm doets niets meer 5N k7 b2
1229969,Hardware / Werkplekbeheer,Trage computer.
1229975,Functioneel beheer,"WS website, aanvraag account"
1229976,Hardware / Werkplekbeheer,kan niet afdrukken Toshiba TEC printer kan niet worden afgedrukt. XENAPPA12-03
1229977,2e lijns (Doorgezette incidenten),Mevrouw kan niet inloggen (buitenlocatie)
1229978,2e lijns (Doorgezette incidenten),wire solutions
1229980,Hardware / Werkplekbeheer,WINKELS_ wire solutions is niet verbonden (ook na reset)
1229981,2e lijns (Doorgezette incidenten),Vraagt zich af waarom zijn pc het volgende ipadrs heeft: 10.40.18.153
1230021,2e lijns (Doorgezette incidenten),wire solutions: is afgelopen maandag 08-07-2013 per ongeluk opgenomen door verpleging en heeft toen pakket gekozen.
1230041,2e lijns (Doorgezette incidenten),tijdens inloggen melding Please Wait
1230043,2e lijns (Doorgezette incidenten),Controlekamer PC Start niet juist door
1230046,2e lijns (Doorgezette incidenten),dv JW
1230047,2e lijns (Doorgezette incidenten),MF__autostore komt er geen keuzemenu voor
1230048,2e lijns (Doorgezette incidenten),Bestand per ongeluk overschreven
1230049,2e lijns (Doorgezette incidenten),MF faxprobleem
1230050,Hardware / Werkplekbeheer,Computer is kan niet opstarten
1230051,2e lijns (Doorgezette incidenten),MF: kan niet faxen/scannen
1230052,Telefonie / Communicatie,HAndset heeft een slechte accu
1230053,2e lijns (Doorgezette incidenten),"RFC dd Dexa uit het domein halen, dit is vorig jaar vlgs badvries al een keer gemeld maar is nog niet gebeurt"
1230070,Telefonie / Communicatie,Handset wordt tijdelijk gebruikt en moet iets ontkoppelt worden want het werkt niet optimaal
1230071,2e lijns (Doorgezette incidenten),Alphatron  tokencode
1230073,Telefonie / Communicatie,Fin-ERP: voicemail aanpassen
1230096,2e lijns (Doorgezette incidenten),Vraagt naar afstandsbediening voor apparatuur in K10
1230097,2e lijns (Doorgezette incidenten),K10
1230098,2e lijns (Doorgezette incidenten),outlook groepspostbus
1230099,2e lijns (Doorgezette incidenten),Gemeenschappelijke telefoon is doorgeschakeld naar eigen handset. bellers krijgen nu de melding dat hij niet bereikbaar is
1230101,2e lijns (Doorgezette incidenten),Apparaat 45160 werkt nog niet op net aangesloten patch
1230102,2e lijns (Doorgezette incidenten),dv functioneel beheer CS
1230103,2e lijns (Doorgezette incidenten),"De applicatie ""whatsapp"" geeft melding: ""storing"""
1230105,Hardware / Werkplekbeheer,verzoek vervangen pc door tc
1230109,2e lijns (Doorgezette incidenten),nieuw KA: applicatie MessageLink niet beschikbaar voor users bij service Alo *spoed*
1230110,Hardware / Werkplekbeheer,Nieuwe KA: piepjes zijn nog steeds aanwezig op TC van dr Slagter
1230116,2e lijns (Doorgezette incidenten),wire solutions: scherm reset zichzelf bij luisteren radio  	D0 k5 b2
1230117,2e lijns (Doorgezette incidenten),"K.10 hulp bij install inloggen op afstand: vraag was wie er van ons gebeld heeft, schijnbaar gemiste oproep van 3333"
1230123,2e lijns (Doorgezette incidenten),Vraagt om ondersteuning videaconferencing in K10
1230124,2e lijns (Doorgezette incidenten),WS heeft een wit blControlekamer in het midden en geen taakbalk
1230125,2e lijns (Doorgezette incidenten),MF faxprobleem
1230126,Functioneel beheer,CS domeinportaal: Huisarts ziet klant niet in domeinportaal
1230128,Hardware / Werkplekbeheer,kan niet inloggen krijgt zwart scherm
1230129,2e lijns (Doorgezette incidenten),Wil graag geluid op TC voor e-learning
1230130,Hardware / Werkplekbeheer,Toetsenbord werkt niet
1230132,2e lijns (Doorgezette incidenten),gegevens ict-manager
1230133,2e lijns (Doorgezette incidenten),E-mail naar carrint komt niet over / geeft foutmelding
1230136,Hardware / Werkplekbeheer,Laptop toetsenbord is defect
1230138,2e lijns (Doorgezette incidenten),elearning programma
1230140,Hardware / Werkplekbeheer,toetsenbord Laptop
1230141,Hardware / Werkplekbeheer,Het wisselen van de pc voor een thin client is niet meer noodzakelijk
1230142,2e lijns (Doorgezette incidenten),configureren enkele tokens
1230143,2e lijns (Doorgezette incidenten),PAM pasnummer: 031586
1230144,Hardware / Werkplekbeheer,Windows loopt vaak vast / WS is langzaam
1230145,2e lijns (Doorgezette incidenten),PAM nieuwe pasnr. 031449
1230146,2e lijns (Doorgezette incidenten),MF pas activeren
1230148,2e lijns (Doorgezette incidenten),Outlook: krijgt mail terug dat bericht onbestelbar is
1230149,Functioneel beheer,"iTask, rechten publieke filters"
1230153,2e lijns (Doorgezette incidenten),Nieuwe accounts - kunnen niet inloggen
1230155,2e lijns (Doorgezette incidenten),afdrukken gaat niet goed
1230156,Functioneel beheer,CS Opname: opnames wijzigen
1230158,2e lijns (Doorgezette incidenten),Kan bestanden niet zien
1230159,2e lijns (Doorgezette incidenten),wire solutions: naam verschijnt niet in beeld
1230162,Telefonie / Communicatie,"4219 accu steeds leeg, komt er mee langs"
1230165,Hardware / Werkplekbeheer,Laptop A-81 vastloper -> herstarten lukt niet
1230166,Hardware / Werkplekbeheer,iPad opgehaald - MobilInlog installeren
1230169,2e lijns (Doorgezette incidenten),dv met W. Grooten
1230171,2e lijns (Doorgezette incidenten),Moet apple-id invoeren op Ipad. Moet zij deze zelf maken of krijgt zij deze van de WS?
1230174,2e lijns (Doorgezette incidenten),dv met functioneel beheer
1230175,Functioneel beheer,e-verwijzen: rechten verwijderen
1230178,Hardware / Werkplekbeheer,plaatsen tijdelijke PC poli Psych
1230179,Functioneel beheer,CS Opname: Opname wijzigen
1230180,2e lijns (Doorgezette incidenten),username or password is incorrect
1230184,2e lijns (Doorgezette incidenten),Vraag over vervangen monitoren door bredere scheremn
1230185,2e lijns (Doorgezette incidenten),Svp PC NIET uitzetten ivm facturatie CRM-ERP.
1230187,2e lijns (Doorgezette incidenten),Zetacom vraagt om token code
1230189,Hardware / Werkplekbeheer,15-07-2013___MobilInlog aanmelden
1230190,2e lijns (Doorgezette incidenten),dv JW
1230192,2e lijns (Doorgezette incidenten),CS__kan niet meer 2 x inloggen op CS
1230195,2e lijns (Doorgezette incidenten),MF__faxproblemen
1230196,2e lijns (Doorgezette incidenten),Innovation vraagt om safeword code
1230198,Functioneel beheer,CS EPD: Contact verwijderen
1230204,2e lijns (Doorgezette incidenten),Paranize autoplanner heeft niet gelopen= HL7 koppeling
1230206,3e lijns (Technische incidenten),"Jan, svp terugbellen"
1230207,Functioneel beheer,computer geeft error
1230208,Functioneel beheer,resolutie scherm thuis
1230211,Telefonie / Communicatie,Vaste telefoon__krijgt berichten niet uit  beeld
1230212,2e lijns (Doorgezette incidenten),meneer afspraak 08:00
1230214,Functioneel beheer,geen uitleg gekregen dat ze voor de afdeling met inloggroep moet inloggen
1230223,Hardware / Werkplekbeheer,Poli KNO  Amsterdam/ PC  komt steeds in de slaapstand
1230227,2e lijns (Doorgezette incidenten),Outlook postbus servicegeneeskunde Amsterdam
1230229,2e lijns (Doorgezette incidenten),Telewerken__kan niet inloggen
1230230,2e lijns (Doorgezette incidenten),Kan niet inloggen. Weet inlognaam niet.
1230231,2e lijns (Doorgezette incidenten),pieptoon op meerdere tc's
1230232,Functioneel beheer,ongeplande consulten
1230234,2e lijns (Doorgezette incidenten),dv met R. Dekkers
1230235,Functioneel beheer,"DKSE, stroomschema maken in Visio"
1230237,2e lijns (Doorgezette incidenten),Facturatie is klaar (zie bonnr. 01230185
1230239,2e lijns (Doorgezette incidenten),CSCRM-ERP afdrukken afdelingsbezettingsoverzicht op de XENAPPH11-01 gaat niet goed
1230240,2e lijns (Doorgezette incidenten),Unable to connect to the Citrix Presentation Server
1230241,2e lijns (Doorgezette incidenten),CS/CRM-ERP: wil niet printen
1230242,2e lijns (Doorgezette incidenten),Laptop__kan zich niet aanmelden
1230243,Hardware / Werkplekbeheer,PC is ontzettend langzaam: wil niet doorloggen.(moet maandag ochtend)
1230244,2e lijns (Doorgezette incidenten),zetacom vraagt om safeword code
1230246,Hardware / Werkplekbeheer,Travel Healt Clinic__Draadloze headset is voor een vaste telefoon geleverd maar niet aangesloten (moet maandag ochtend was geen tijd voor vrijdag)
1230251,2e lijns (Doorgezette incidenten),CSCRM-ERP beeldschermresolutie dr. Westermann 12:00 - 13:00 uur
1230254,2e lijns (Doorgezette incidenten),Toner van multifunctional is op
1230256,2e lijns (Doorgezette incidenten),Unable to connect to the Citrix Presentation Server
1230258,2e lijns (Doorgezette incidenten),Can not connect to the citrix Xenapp server
1230260,2e lijns (Doorgezette incidenten),Outlook mist postbus serviceartsen
1230264,2e lijns (Doorgezette incidenten),Ziet geen printers in sessie
1230267,Functioneel beheer,e-Madows: lijst met  tussentijdse verstrekkingen van de avond komen niet meer aankeuken drukt deze lijsten af.
1230268,2e lijns (Doorgezette incidenten),Nieuwe KA: outlook: hoe kan ik een mail afdrukken
1230270,2e lijns (Doorgezette incidenten),Excel__heeft een nieuw Excel bestand die niet converteerd
1230272,Hardware / Werkplekbeheer,Papier loopt steeds vast bij het printen van een faxbevestiging.
1230279,2e lijns (Doorgezette incidenten),Nieuwe pas
1230281,2e lijns (Doorgezette incidenten),vraag over vastmaken van snoeren/kabels onder bureau
1230282,2e lijns (Doorgezette incidenten),Outlook__langlopend probleem waar al vaker na is gekeken (.OST)
1230304,Functioneel beheer,CS/CRM-ERP: CRM-ERP is ontzettend traag op de pc van dr Klaassen
1230305,2e lijns (Doorgezette incidenten),wire solutions facturatie is niet correct
1230307,2e lijns (Doorgezette incidenten),dv met functioneel beheer
1230308,2e lijns (Doorgezette incidenten),Outlook extra postbussen toevoegen
1230311,2e lijns (Doorgezette incidenten),Xeleris Remote - verwijzing moet worden gewijzigd
1230312,Functioneel beheer,CS Opname: Behandelaar wijzigen
1230316,2e lijns (Doorgezette incidenten),Vraagt naar H. ten Berge
1230319,2e lijns (Doorgezette incidenten),dr Shabo kan niet inloggen op zijn pc
1230320,2e lijns (Doorgezette incidenten),vraagt naar rene vlaskamp
1230323,Functioneel beheer,CS Opname: opnametype wijzigen
1230324,2e lijns (Doorgezette incidenten),dv met R. Vlaskamp
1230325,Hardware / Werkplekbeheer,wire solutions Jan Polak
1230326,2e lijns (Doorgezette incidenten),MF__pas activeren
1230328,2e lijns (Doorgezette incidenten),safewordcode
1230331,Hardware / Werkplekbeheer,"MF drukt niet goed af, (achter balie van D0), er is vanochtend toner bijgevuld"
1230333,Telefonie / Communicatie,"Doorverbinden op een vast toestel, heeft de handleiding erbij maar lukt niet"
1230334,2e lijns (Doorgezette incidenten),vraagt naar jan Zomers
1230335,2e lijns (Doorgezette incidenten),Poli Longfunctie Amsterdam/graag gas bestellen
1230337,2e lijns (Doorgezette incidenten),CS__traagheid
1230338,2e lijns (Doorgezette incidenten),Smartaim vraagt naar hr. Gorgels
1230339,2e lijns (Doorgezette incidenten),dv DH
1230341,3e lijns (Technische incidenten),vraagt naar daniel pierik inz. WIFI verbinding voor radiologie modaliteiten
1230342,2e lijns (Doorgezette incidenten),MF__foutmelding in beeld
1230344,Functioneel beheer,CS/CRM-ERP: geeft aan dat CRM-ERP sinds afgelopen dinsdag/woensdag een stuk trager is geworden.
1230345,2e lijns (Doorgezette incidenten),WS plaza problemen met *.xls document afdrukken
1230346,2e lijns (Doorgezette incidenten),Kan niet printen op deze pc W01040 in ruimte 1.N.38.1
1230347,2e lijns (Doorgezette incidenten),dv RD
1230348,2e lijns (Doorgezette incidenten),Geen printers beschikbaar op XenappH11-01
1230349,2e lijns (Doorgezette incidenten),belt over activeren van pas voor afdrukken
1230351,2e lijns (Doorgezette incidenten),Standaardprintet instellen in sessie gaat niet goed
1230352,2e lijns (Doorgezette incidenten),2013-07-22_Astraia bij opdracht geven voor afdrukken komt foutmelding in beeld (zie bijlage)
1230353,Hardware / Werkplekbeheer,NControlekameria - doorschakeling verwijderen wanneer zij in gesprek zit
1230355,2e lijns (Doorgezette incidenten),wire solutions Comedy Central
1230357,2e lijns (Doorgezette incidenten),Kan geen printers instellen
1230358,2e lijns (Doorgezette incidenten),wire solutions__geen zenders
1230360,Functioneel beheer,CS EPD: beantwoording verwijderen
1230363,Hardware / Werkplekbeheer,Multifunctional geeft papierstoring
1230364,2e lijns (Doorgezette incidenten),ZCGTCONNECT: ophanger
1230365,2e lijns (Doorgezette incidenten),Heeft geen CRM-ERP icoon.
1230366,2e lijns (Doorgezette incidenten),Geeft aan dat er een aantal personen geen recht meer hebben op een aantal mappen op de X-schijf.
1230367,2e lijns (Doorgezette incidenten),Outlook: kan aangevraagde postbus niet toevoegen
1230368,2e lijns (Doorgezette incidenten),Geeft aan dat ze het icoon nog steeds niet heeft.
1230369,Hardware / Werkplekbeheer,"17-07-13__De 3 Penta's op de endoscopiekamers kunnen, minstens eenmaal per dag, beelden niet ontvangen"
1230370,Hardware / Werkplekbeheer,Penta pc geeft wederom 'zwart' beeld
1230373,2e lijns (Doorgezette incidenten),"Turn main power switch off,"
1230375,Hardware / Werkplekbeheer,CS__gaf aan dat het niet geactiveerd was
1230392,2e lijns (Doorgezette incidenten),CS__vastloper
1230393,Telefonie / Communicatie,Accu van handset van dhr. Prick (5727) moet vervangen worden. Dze is zeer snel leeg.
1230394,2e lijns (Doorgezette incidenten),scherm blijft op Please Wait staan na stroomonderbreking
1230395,Functioneel beheer,"CS__traagheid, heeft vnadaag al 5 keer vastlopers gehad"
1230396,2e lijns (Doorgezette incidenten),Nieuwe KA__krijgt melding om printer te installeren
1230397,Hardware / Werkplekbeheer,Beamer in Noord-Hollandzaal lijkt het niet te doen. Svp langsgaan
1230398,Functioneel beheer,CS EPD: Contact verwijderen
1230400,2e lijns (Doorgezette incidenten),"PC wil drivers installeren voor Aficio en geeft melding: ""vertrouwt u deze printer?""."
1230401,2e lijns (Doorgezette incidenten),CSCRM-ERP Let op:  computer is niet geactiveerd
1230403,2e lijns (Doorgezette incidenten),Probleem met inloggen op citrix access gateway
1230415,2e lijns (Doorgezette incidenten),"WW gewijzigd, kan niet inloggen"
1230418,2e lijns (Doorgezette incidenten),Outlook rechten voor IDB extra postbus
1230419,2e lijns (Doorgezette incidenten),CS__vastloper
1230420,2e lijns (Doorgezette incidenten),sronner weet ww niet meer
1230421,2e lijns (Doorgezette incidenten),CS__vastloper
1230422,2e lijns (Doorgezette incidenten),CSCRM-ERP KNO
1230424,2e lijns (Doorgezette incidenten),vraag over doorschakeling
1230426,2e lijns (Doorgezette incidenten),dv RM
1230427,Hardware / Werkplekbeheer,MF geeft papierstoring
1230431,2e lijns (Doorgezette incidenten),Vraagt status aanvraag rechten E-verwijzen
1230432,2e lijns (Doorgezette incidenten),Controlekamer 6 zie ook bonnr. 01230357
1230434,Functioneel beheer,CS Document: document verwijderen.
1230439,2e lijns (Doorgezette incidenten),wire solutions TV Signaal is blControlekamerkerig
1230452,Hardware / Werkplekbeheer,Wil microfoon van headset (Netcom) harder gezet hebben
1230453,2e lijns (Doorgezette incidenten),Wachtwoord reset
1230454,2e lijns (Doorgezette incidenten),machtiging  kan geen mail verzenden namens de postbus IBD Amsterdam
1230455,2e lijns (Doorgezette incidenten),dv BV
1230457,2e lijns (Doorgezette incidenten),Gebruiker heeft voicemail gewijzigd en vraagt zich af hoe dit te controleren.
1230469,2e lijns (Doorgezette incidenten),wire solutions: bereikbare dienst
1230474,2e lijns (Doorgezette incidenten),Koppeling paranice en CRM-ERP werkt niet
1230475,Functioneel beheer,Cs-stamtabel: wijziging
1230481,2e lijns (Doorgezette incidenten),kan niet inlogen in CS
1230482,2e lijns (Doorgezette incidenten),"Kan niet aanmelden: ""windows can not connect to the domain""."
1230483,2e lijns (Doorgezette incidenten),"Inloggen lukt niet,"
1230484,2e lijns (Doorgezette incidenten),Kan niet in loggen op de computer
1230485,Functioneel beheer,Cs-stamtabel: toevoegen externe spec
1230486,2e lijns (Doorgezette incidenten),Windows cannot connect to the domain
1230487,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""windows can not connect to the domain""."
1230488,2e lijns (Doorgezette incidenten),PC niet geactiveerd
1230489,Hardware / Werkplekbeheer,In Wacht__Gebruikers inlichten zodra de tokens in Amsterdam zijn.
1230492,Hardware / Werkplekbeheer,Windows cannot connect to the domain
1230494,2e lijns (Doorgezette incidenten),Geen printers bescjikbaar op XenappH7-02
1230498,2e lijns (Doorgezette incidenten),"Kan niet uitloggen: tc blijft staan op ""logging off""."
1230499,2e lijns (Doorgezette incidenten),Cannot logon to the domain
1230500,2e lijns (Doorgezette incidenten),Windows cannot connect to the domain
1230501,Functioneel beheer,Cs-stamtabel: toevoegen liszcode
1230502,2e lijns (Doorgezette incidenten),kan niet inloggen
1230503,2e lijns (Doorgezette incidenten),cannot connect to the citrix xenapp server
1230504,2e lijns (Doorgezette incidenten),kan niet inloggen
1230505,2e lijns (Doorgezette incidenten),Kan niet inloggen.
1230507,2e lijns (Doorgezette incidenten),MF__kan niet faxen
1230509,2e lijns (Doorgezette incidenten),inlogprobleem
1230510,2e lijns (Doorgezette incidenten),kan niet inloggen
1230511,2e lijns (Doorgezette incidenten),"Unable to launch your application, protocol driver error"
1230512,2e lijns (Doorgezette incidenten),cannot connect to the domain
1230513,2e lijns (Doorgezette incidenten),kan niet inloggen
1230514,Functioneel beheer,Cs-agenda: tabblad baliemedewerker
1230515,2e lijns (Doorgezette incidenten),CS dv 5119
1230517,2e lijns (Doorgezette incidenten),Cannot logon to the Citrix Presentation Server
1230535,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""protocol driver errot""."
1230536,2e lijns (Doorgezette incidenten),Geen beschikbare printers: a12-04
1230537,Hardware / Werkplekbeheer,hulp bij aansluiten nieuwe Sennheiser headsets
1230538,2e lijns (Doorgezette incidenten),tokencode
1230561,2e lijns (Doorgezette incidenten),Open bestand op J:\radiologie\WS personeelsplanning\Amsterdam\2013\planning WS Amsterdam 2013.xls
1230564,Functioneel beheer,Cs-agenda: werkblad baliemedewerker
1230566,2e lijns (Doorgezette incidenten),Kan printers niet instellen in sessie
1230580,2e lijns (Doorgezette incidenten),cannot connect to citrix xenapp server
1230583,Functioneel beheer,Madows klantenvoeding Kamernr. 4.81 mevrouw van de Beek-Seinen
1230587,2e lijns (Doorgezette incidenten),Printer doet het niet + vakantiemedewerker geen rechten mailbox
1230588,2e lijns (Doorgezette incidenten),Kan niet in Everwijzen
1230590,Telefonie / Communicatie,"  Bert, svp terugbellen."
1230594,2e lijns (Doorgezette incidenten),Kan geen printers instellen in sessie
1230596,2e lijns (Doorgezette incidenten),dv M. Heerdink (Carel Muller)
1230597,Functioneel beheer,Cs-ziscon: aacount activeren
1230598,2e lijns (Doorgezette incidenten),"Kan njiet inloggen: ""unable to launch your application. Protocol driver error""."
1230603,2e lijns (Doorgezette incidenten),dv RH
1230608,Functioneel beheer,e-verwijzen: autorisatie
1230611,Hardware / Werkplekbeheer,Printer geeft vlekken bij printen
1230613,2e lijns (Doorgezette incidenten),wire solutions wil graag afmelden
1230614,2e lijns (Doorgezette incidenten),Computer start niet juist door
1230615,2e lijns (Doorgezette incidenten),Inloggen geeft Protocol driver error
1230616,2e lijns (Doorgezette incidenten),wire solutions vraag over afmelden
1230617,Functioneel beheer,CS Opname: Opname wijzigen
1230619,2e lijns (Doorgezette incidenten),cannot connect to citrix xenapp server
1230620,2e lijns (Doorgezette incidenten),wachtwoord vergeten ivbm lange tijd niet inloggen
1230621,2e lijns (Doorgezette incidenten),Xelleris remotedesktop verwijzing
1230622,2e lijns (Doorgezette incidenten),Kan geen USB nieuwe KA gebruiken
1230624,Hardware / Werkplekbeheer,Laptop: I/O-error (Certificaat verlopen) >>> TC43570 LaptopA07
1230625,Telefonie / Communicatie,handset telnr 3023
1230629,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""protocol driver error""."
1230630,Functioneel beheer,CS Ambulante verrichtingen: foutmelding
1230631,2e lijns (Doorgezette incidenten),Webmail vumc geeft foutmelding
1230632,2e lijns (Doorgezette incidenten),cannot connect
1230634,2e lijns (Doorgezette incidenten),Printer wil steeds afdrukken op de PDF Printer
1230635,2e lijns (Doorgezette incidenten),Terugbelverzoek
1230637,2e lijns (Doorgezette incidenten),tokencode
1230642,2e lijns (Doorgezette incidenten),Protocol Driver Error
1230644,2e lijns (Doorgezette incidenten),kan niet loggen
1230647,Functioneel beheer,Cs-agenda/opname: foutmelding
1230649,2e lijns (Doorgezette incidenten),dv GR
1230650,2e lijns (Doorgezette incidenten),Outlook: toevoegen postbus
1230652,Functioneel beheer,CS-opname: wijzigen
1230653,2e lijns (Doorgezette incidenten),cannot connect to citrix server
1230654,2e lijns (Doorgezette incidenten),Vraagt naar J. Agten
1230655,2e lijns (Doorgezette incidenten),OutlControlekamero groepspostbus: send on behalf rechten
1230656,Functioneel beheer,CS Agenda: zwevende afspraak
1230658,Functioneel beheer,CS Document: briefhoofden aanpassen.
1230659,2e lijns (Doorgezette incidenten),Geen printers beschikbaar op XenappA16-02
1230660,2e lijns (Doorgezette incidenten),nieuwe KA: kan bestanden niet meer terugvinden
1230661,Functioneel beheer,Cs-stamtabel: toevoegen instantie
1230665,2e lijns (Doorgezette incidenten),Doorverbonden met B. Ros
1230666,2e lijns (Doorgezette incidenten),Kan niet inloggen (ww reset)
1230670,2e lijns (Doorgezette incidenten),cannot connect to the citrix xenapp
1230671,2e lijns (Doorgezette incidenten),Komt muis ruilen ivm haperen.
1230685,2e lijns (Doorgezette incidenten),dv RH
1230689,Functioneel beheer,Cs-stamtabel: toevoegen
1230690,2e lijns (Doorgezette incidenten),Excel-document zien door wie dit is gemaakt?
1230691,2e lijns (Doorgezette incidenten),"Mark, svp terugbellen"
1230693,Hardware / Werkplekbeheer,Printer is vastgelopen
1230697,Functioneel beheer,CS Opname: opname aanpassen.
1230698,2e lijns (Doorgezette incidenten),"kan geen verbinding maken, protocol driver error"
1230700,Functioneel beheer,Cs-ziscon: toevoegen rechten
1230703,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""desktop error""."
1230704,Functioneel beheer,CS Ziscon: accountmutaties
1230705,2e lijns (Doorgezette incidenten),telewerken
1230706,2e lijns (Doorgezette incidenten),Protocol Driver Error
1230708,Hardware / Werkplekbeheer,Laptop graag toetsenbord vervangen
1230713,2e lijns (Doorgezette incidenten),"Excel bestand gewijzigd, wil graag een oudere versie terug"
1230714,Functioneel beheer,Cs-ziscon: toevoegen rechten conform lijst
1230719,2e lijns (Doorgezette incidenten),WSplaza doc printen
1230722,2e lijns (Doorgezette incidenten),dv MC
1230732,2e lijns (Doorgezette incidenten),Vraagt naar F. Wijngaard
1230741,2e lijns (Doorgezette incidenten),Word__is lijst gecorrigeerde woorden kwijt
1230742,Functioneel beheer,Cs-stamtabel: instantie en artscode toevoegen
1230743,Functioneel beheer,Cs-agenda: zwevende afspraak
1230744,2e lijns (Doorgezette incidenten),Outlook aut. handtekening
1230748,Hardware / Werkplekbeheer,Trust relationship error
1230749,2e lijns (Doorgezette incidenten),CS/CRM-ERP: Wij hebben een probleem bij het versturen van OHW Grouper aanleverbestanden
1230750,Hardware / Werkplekbeheer,"MF lampje op display brand, printerafdruk 1 minuut"
1230751,Functioneel beheer,Cs-ziscon: nieuwe accounts
1230761,2e lijns (Doorgezette incidenten),token voor Astraia
1230772,Functioneel beheer,"test janneke radio,ogie onderzoeken"
1230788,2e lijns (Doorgezette incidenten),Het lukt niet om 1 bepaald EEG te archiveren.
1230791,2e lijns (Doorgezette incidenten),"Outlook: heeft als naam nog ""Wendy-Redans, I."" staan ipv ""Redans, I."""
1230805,2e lijns (Doorgezette incidenten),Geen printers beschikbaar op XenappH13-03
1230806,3e lijns (Technische incidenten),brControlekamerer van CS ligt er uit -> geen werklijsten radiologie
1230830,2e lijns (Doorgezette incidenten),Account has been locked out
1230832,Functioneel beheer,nieuwe afspr.code
1230833,2e lijns (Doorgezette incidenten),Vraag over aanvraag mobile-Inlog
1230834,2e lijns (Doorgezette incidenten),MobilInlog
1230839,2e lijns (Doorgezette incidenten),Easyscan
1230841,2e lijns (Doorgezette incidenten),afdrukken gaat niet goed
1230842,2e lijns (Doorgezette incidenten),idocuments
1230845,2e lijns (Doorgezette incidenten),Heeft niet de beschikking over monaco-pip
1230846,Functioneel beheer,CS EPD: opleiding
1230848,Functioneel beheer,E-verwijzen
1230849,Functioneel beheer,Cs-dossier: verwijderen contact
1230851,2e lijns (Doorgezette incidenten),Wat is de status van bonnr.: 01223503
1230853,Hardware / Werkplekbeheer,Printer weer vastgelopen
1230856,2e lijns (Doorgezette incidenten),Ingebouwde Controlekamer PC locked na een korte tijd
1230857,2e lijns (Doorgezette incidenten),crm: applicatie is beeindigd - bij aanklikken beelden bij verslag
1230858,2e lijns (Doorgezette incidenten),Zijn de aangevraagde accounts al verwerkt?
1230859,2e lijns (Doorgezette incidenten),wire solutions telefoon
1230862,2e lijns (Doorgezette incidenten),bestand in gebruik in CS
1230864,2e lijns (Doorgezette incidenten),wire solutions__TV werkt al 2 dagen niet
1230866,Hardware / Werkplekbeheer,MF mist een onderdeel waardoor klep los zit
1230867,2e lijns (Doorgezette incidenten),Nieuwe KA__View Pro-X geeft een foutmelding en start niet op
1230869,2e lijns (Doorgezette incidenten),Kan geen printers in sessie selecteren
1230877,Hardware / Werkplekbeheer,Laptop kan niet meer aan
1230879,2e lijns (Doorgezette incidenten),Vraag contactpersonen outlook
1230882,2e lijns (Doorgezette incidenten),Gebruiker heeft geen toegang tot J:\
1230883,2e lijns (Doorgezette incidenten),Monaco PIP foutmelding -> softgrid error 0000E005
1230887,2e lijns (Doorgezette incidenten),wire solutions hapert
1230888,2e lijns (Doorgezette incidenten),CS triage invullen vpk dossier -> dossier in gebruik
1230889,Telefonie / Communicatie,vragen over viocemail
